#Organism Name,Organism Groups,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,Host,CDS,Neighbors,Release Date,GenBank FTP,RefSeq FTP,Replicons
"Plasmavirus L2","Viruses;Other;Plasmaviridae","","","GCA_000837825.1","Complete",0.011965,32," Unknown:NC_001447.1/L13696.1","bacteria",14,,"1993-06-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/837/825/GCA_000837825.1_ViralProj14066","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/837/825/GCF_000837825.1_ViralProj14066"," Unknown:NC_001447.1/L13696.1"
"Pseudoalteromonas phage PM2","Viruses;Other;Corticoviridae","","","GCA_000840405.1","Complete",0.010079,42.2," Unknown:NC_000867.1/AF155037.1","bacteria",22,,"1999-07-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/840/405/GCA_000840405.1_ViralProj14237","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/840/405/GCF_000840405.1_ViralProj14237"," Unknown:NC_000867.1/AF155037.1"
"Vibrio phage douglas 12A4","Viruses;Other;Podoviridae","","PRJNA39215","GCA_000908255.1","Complete",0.057611,39," Unknown:NC_021068.1/HQ316580.1","bacteria",75,,"2013-03-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/908/255/GCA_000908255.1_ViralProj198432","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/908/255/GCF_000908255.1_ViralProj198432"," Unknown:NC_021068.1/HQ316580.1"
"Vibrio phage helene 12B3","Viruses;Other;Myoviridae","","PRJNA39217","GCA_000907195.1","Complete",0.135982,37.6," Unknown:NC_021067.1/HQ316579.1","bacteria",263,,"2013-03-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/907/195/GCA_000907195.1_ViralProj198433","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/195/GCF_000907195.1_ViralProj198433"," Unknown:NC_021067.1/HQ316579.1"
"Vibrio phage martha 12B12","Viruses;Other;Myoviridae","","PRJNA39219","GCA_000904715.1","Complete",0.033277,45.8," Unknown:NC_021070.1/HQ316581.1","bacteria",51,,"2013-03-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/904/715/GCA_000904715.1_ViralProj198434","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/715/GCF_000904715.1_ViralProj198434"," Unknown:NC_021070.1/HQ316581.1"
"Hamiltonella phage APSE-1","Viruses;Other;Other","","","GCA_000837745.1","Complete",0.036524,43.9," Unknown:NC_000935.1/AF157835.1","bacteria",54,,"1999-10-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/837/745/GCA_000837745.1_ViralProj14047","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/837/745/GCF_000837745.1_ViralProj14047"," Unknown:NC_000935.1/AF157835.1"
"Burkholderia phage KS9","Viruses;Other;Siphoviridae","","","GCA_000885155.1","Complete",0.039896,60.7," Unknown:NC_013055.1/FJ982340.1","bacteria",50,,"2009-08-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/885/155/GCA_000885155.1_ViralProj39771","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/155/GCF_000885155.1_ViralProj39771"," Unknown:NC_013055.1/FJ982340.1"
"Salmonella phage g341c","Viruses;Other;Other","","","GCA_000884195.1","Complete",0.040975,47.4," Unknown:NC_013059.1/FJ000341.1","bacteria",68,,"2009-08-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/884/195/GCA_000884195.1_ViralProj39795","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/884/195/GCF_000884195.1_ViralProj39795"," Unknown:NC_013059.1/FJ000341.1"
"Vibrio phage SIO-2","Viruses;Other;Siphoviridae","","PRJNA42177","GCA_000896615.1","Complete",0.081184,45," Unknown:NC_016567.1/HQ316604.1","bacteria",115,,"2011-11-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/896/615/GCA_000896615.1_ViralProj80921","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/896/615/GCF_000896615.1_ViralProj80921"," Unknown:NC_016567.1/HQ316604.1"
"Synechococcus phage S-SSM4","Viruses;Other;Kyanoviridae","","PRJNA42181","GCA_000905555.1","Complete",0.182801,39.4," Unknown:NC_020875.1/HQ316583.1","bacteria",220,,"2013-03-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/905/555/GCA_000905555.1_ViralProj195515","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/555/GCF_000905555.1_ViralProj195515"," Unknown:NC_020875.1/HQ316583.1"
"Cyanophage SS120-1","Viruses;Other;Autographiviridae","","PRJNA42183","GCA_000907035.1","Complete",0.046997,40.5," Unknown:NC_020872.1/HQ316584.1","bacteria",52,,"2013-03-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/907/035/GCA_000907035.1_ViralProj195516","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/035/GCF_000907035.1_ViralProj195516"," Unknown:NC_020872.1/HQ316584.1"
"Staphylococcus phage P954","Viruses;Other;Other","","","GCA_000886755.1","Complete",0.040761,34," Unknown:NC_013195.1/GQ398772.1","bacteria",69,,"2009-09-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/886/755/GCA_000886755.1_ViralProj40231","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/886/755/GCF_000886755.1_ViralProj40231"," Unknown:NC_013195.1/GQ398772.1"
"Vibrio phage henriette 12B8","Viruses;Other;Myoviridae","","PRJNA40641","GCA_000906335.1","Complete",0.107218,41," Unknown:NC_021073.1/HQ316582.1","bacteria",154,,"2013-03-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/906/335/GCA_000906335.1_ViralProj198435","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/335/GCF_000906335.1_ViralProj198435"," Unknown:NC_021073.1/HQ316582.1"
"Sodalis phage SO1","Viruses;Other;Other","","","GCA_000886975.1","Complete",0.045169,54.6," Unknown:NC_013600.1/GQ502199.1","bacteria",59,,"2009-09-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/886/975/GCA_000886975.1_ViralProj42597","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/886/975/GCF_000886975.1_ViralProj42597"," Unknown:NC_013600.1/GQ502199.1"
"Pseudomonas phage phi-2","Viruses;Other;Autographiviridae","","","GCA_000886135.1","Complete",0.043144,58.9," Unknown:NC_013638.1/FN594518.1","bacteria",43,,"2009-12-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/886/135/GCA_000886135.1_ViralProj42717","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/886/135/GCF_000886135.1_ViralProj42717"," Unknown:NC_013638.1/FN594518.1"
"Klebsiella phage KP32","Viruses;Other;Autographiviridae","","","GCA_000884535.1","Complete",0.041119,52.4," Unknown:NC_013647.1/GQ413937.1","bacteria",44,,"2009-11-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/884/535/GCA_000884535.1_ViralProj42779","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/884/535/GCF_000884535.1_ViralProj42779"," Unknown:NC_013647.1/GQ413937.1"
"Klebsiella phage KP34","Viruses;Other;Autographiviridae","","","GCA_000886155.1","Complete",0.043809,54.1," Unknown:NC_013649.2/GQ413938.2","bacteria",57,,"2009-11-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/886/155/GCA_000886155.1_ViralProj42781","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/886/155/GCF_000886155.1_ViralProj42781"," Unknown:NC_013649.2/GQ413938.2"
"Mycobacterium phage ET08","Viruses;Other;Other","","","GCA_000885515.1","Complete",0.155445,64.6," Unknown:NC_013650.1/GQ303260.1","bacteria",218,5,"2009-09-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/885/515/GCA_000885515.1_ViralProj42783","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/515/GCF_000885515.1_ViralProj42783"," Unknown:NC_013650.1/GQ303260.1"
"Vibrio phage N4","Viruses;Other;Autographiviridae","","","GCA_000887015.1","Complete",0.038497,42.8,"NC_013651.1/FJ409640.1","bacteria",47,,"2009-10-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/887/015/GCA_000887015.1_ViralProj42785","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/887/015/GCF_000887015.1_ViralProj42785","NC_013651.1/FJ409640.1"
"Enterococcus phage phiFL3A","Viruses;Other;Other","","","GCA_000884555.1","Complete",0.039576,34.5," Unknown:NC_013648.1/GQ478086.1","bacteria",64,1,"2009-12-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/884/555/GCA_000884555.1_ViralProj42787","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/884/555/GCF_000884555.1_ViralProj42787"," Unknown:NC_013648.1/GQ478086.1"
"Enterococcus phage phiFL1A","Viruses;Other;Other","","","GCA_000886175.1","Complete",0.038764,34," Unknown:NC_013646.1/GQ478081.1","bacteria",61,2,"2009-12-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/886/175/GCA_000886175.1_ViralProj42789","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/886/175/GCF_000886175.1_ViralProj42789"," Unknown:NC_013646.1/GQ478081.1"
"Streptococcus phage Abc2","Viruses;Other;Other","","","GCA_000885535.1","Complete",0.034882,39," Unknown:NC_013645.1/FJ236310.1","bacteria",48,,"2009-10-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/885/535/GCA_000885535.1_ViralProj42791","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/535/GCF_000885535.1_ViralProj42791"," Unknown:NC_013645.1/FJ236310.1"
"Enterococcus phage phiFL4A","Viruses;Other;Siphoviridae","","","GCA_000887035.1","Complete",0.037856,37.8," Unknown:NC_013644.1/GQ478088.1","bacteria",55,,"2009-12-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/887/035/GCA_000887035.1_ViralProj42793","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/887/035/GCF_000887035.1_ViralProj42793"," Unknown:NC_013644.1/GQ478088.1"
"Enterococcus phage phiFL2A","Viruses;Other;Other","","","GCA_000884575.1","Complete",0.03627,34.6," Unknown:NC_013643.1/GQ478084.1","bacteria",63,1,"2009-12-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/884/575/GCA_000884575.1_ViralProj42795","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/884/575/GCF_000884575.1_ViralProj42795"," Unknown:NC_013643.1/GQ478084.1"
"Escherichia phage D108","Viruses;Other;Other","","","GCA_000884495.1","Complete",0.037235,51.8," Unknown:NC_013594.1/GQ357916.1","bacteria",57,,"2009-09-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/884/495/GCA_000884495.1_ViralProj42515","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/884/495/GCF_000884495.1_ViralProj42515"," Unknown:NC_013594.1/GQ357916.1"
"Streptococcus phage ALQ13.2","Viruses;Other;Other","","","GCA_000886115.1","Complete",0.035525,39.4," Unknown:NC_013598.1/FJ226752.1","bacteria",44,,"2009-10-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/886/115/GCA_000886115.1_ViralProj42593","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/886/115/GCF_000886115.1_ViralProj42593"," Unknown:NC_013598.1/FJ226752.1"
"Xylella phage Xfas53","Viruses;Other;Podoviridae","","","GCA_000885475.1","Complete",0.036674,56.8," Unknown:NC_013599.1/GQ421471.1","bacteria",45,,"2009-09-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/885/475/GCA_000885475.1_ViralProj42595","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/475/GCF_000885475.1_ViralProj42595"," Unknown:NC_013599.1/GQ421471.1"
"Shigella phage Ag3","Viruses;Other;Ackermannviridae","","","GCA_000888035.1","Complete",0.158006,50.4," Unknown:NC_013693.1/FJ373894.1","bacteria",216,,"2009-09-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/888/035/GCA_000888035.1_ViralProj42937","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/888/035/GCF_000888035.1_ViralProj42937"," Unknown:NC_013693.1/FJ373894.1"
"Mycobacterium phage Peaches","Viruses;Other;Other","","","GCA_000887055.1","Complete",0.051376,63.9,"NC_013694.1/GQ303263.1","bacteria",86,11,"2009-09-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/887/055/GCA_000887055.1_ViralProj42939","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/887/055/GCF_000887055.1_ViralProj42939","NC_013694.1/GQ303263.1"
"Mycobacterium phage Ardmore","Viruses;Other;Other","","","GCA_000887155.1","Complete",0.052141,61.5," Unknown:NC_013936.1/GU060500.1","bacteria",87,,"2010-03-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/887/155/GCA_000887155.1_ViralProj46607","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/887/155/GCF_000887155.1_ViralProj46607"," Unknown:NC_013936.1/GU060500.1"
"Klebsiella phage KP15","Viruses;Other;Straboviridae","","","GCA_000887175.1","Complete",0.174436,41.8," Unknown:NC_014036.1/GU295964.1","bacteria",258,,"2010-04-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/887/175/GCA_000887175.1_ViralProj47333","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/887/175/GCF_000887175.1_ViralProj47333"," Unknown:NC_014036.1/GU295964.1"
